매장명,주소
경남정보대학교 ICT관,부산 사상구 주례로 45
경남정보대학교 센텀캠퍼스,부산 해운대구 센텀중앙로 55
경상국립대학교 부산지구총동창회,부산 동래구 금강로 69
고신대학교 보건대학원,부산 서구 감천로 262
고신대학교 영도캠퍼스 벧엘1관,부산 영도구 와치로 185
그라찌에 영산대학교 해운대캠퍼스점,부산 해운대구 반송순환로 142
기장군불교청년회 기장불교대학,부산 기장군 기장읍 차성남로89번길 10
나이스파크 동아대학교부민캠퍼스,부산 서구 구덕로 225
나이스파크 부산교육대학교 부설주차장,부산 연제구 교대로 24
대동대학교,부산 금정구 동부곡로27번길 88
대원불교대학,부산 금정구 중앙대로1944번길 13
동국불교 전법대학,부산 동구 범일로102번길 8
동서대학교 CTL 교수학습개발센터,부산 사상구 주례동 85-1
범어사금정불교대학,부산 금정구 상마1길 20
부경대학교 수산과학연구소,부산 기장군 일광읍 일광로 474
부산 경상대학교 평생교육원,부산 연제구 고분로 170
부산 과학기술대학교 진리관,부산 북구 시랑로132번길 88
부산가톨릭대학교,부산 금정구 오륜대로 57
부산경상대학교,부산 연제구 고분로 170
부산과학기술대학교 교내서점,부산 북구 시랑로132번길 88
부산교육대학교 서문,부산 연제구 거제동
부산대학교,부산 금정구 부산대학로63번길 2-1
부산보건대학교,부산 사하구 사리로55번길 16
부산외국어대학교 운동장,부산 금정구 금샘로485번길 166
서울사이버대학교 부산캠퍼스,부산 영도구 태종로 47 4층
신라대학교,부산 사상구 백양대로700번길 140
안심사 녹야원불교대학,부산 북구 효열로203번길 16
어셉불교대학,부산 영도구 영선대로 109
여래사불교대학,부산 동구 고관로63번길 1
영산대학교 도광헌,부산 해운대구 반송순환로 142
인제대학교 인제대학교,부산 해운대구 해운대로 875
하나은행365 한국폴리텍대학 부산캠퍼스,부산 북구 만덕대로155번길 99
하나은행365 한국폴리텍대학동부산캠퍼스,부산 기장군 정관읍 산단4로 2-69
한국해양대학교 해사대학 신관,부산 영도구 동삼동 1
화신사이버대학교,부산 연제구 고분로191번길 1
환희불교복지대학,부산 사하구 제석로95번길 35
