,영화관이름,주소,위도,경도,행정동명,행정동_코드
0,롯데시네마 동부산아울렛,부산광역시 기장군 기장읍 기장영화로 147,0,0,기장읍,NaN
1,메가박스 정관,부산광역시 기장군 정관읍 정관6로 39,35.3199249,129.1761215,정관읍,26710256
2,CGV 정관,부산광역시 기장군 정관읍 정관중앙로 45,35.3246168,129.1787849,정관읍,26710256
3,모노플렉스 오시리아,부산광역시 기장군 기장읍 시랑리 산-46,0,0,기장읍,NaN
4,롯데시네마 오투,부산광역시 금정구 중앙대로 1607,35.2990612,129.1037793,선두구동,26410635
5,메가박스 부산대,부산광역시 금정구 장전로12번길 55,35.229477,129.0881751,장전2동,26410610
6,메가박스 해운대(장산),부산광역시 해운대구 해운대로 813,35.1689469,129.1386673,우2동,26350520
7,롯데시네마 센텀시티,부산광역시 해운대구 센텀남대로 35,0,0,우2동,26350520
8,CGV 센텀시티,부산광역시 해운대구 센텀남대로 35,0,0,우2동,26350520
9,영화의 전당,부산광역시 해운대구 수영강변대로 120,35.1712188,129.1266587,우2동,26350520
10,롯데시네마 프리미엄해운대,부산광역시 해운대구 해운대로 802,35.1689469,129.1386673,우2동,26350520
11,CGV 씨네드쉐프센텀시티,부산광역시 해운대구 센텀남대로 35,0,0,우2동,26350520
12,CGV 해운대,부산광역시 해운대구 해운대로 620,35.1629764,129.1584423,우1동,26350510
13,신세계 문화의전당,부산광역시 해운대구 센텀남대로 35,0,0,우2동,26350520
14,오르페오 해운대,부산광역시 해운대구 해운대해변로 292,35.1591135,129.1583707,우1동,26350510
15,CGV 화명,부산광역시 북구 화명대로 16,35.23512,129.0198837,화명1동,26320541
16,메가박스 덕천,부산광역시 북구 만덕대로 23,35.2128247,129.0371489,만덕2동,26320572
17,CGV 동래,부산광역시 동래구 중앙대로 1523,35.2212535,129.0856217,온천1동 ,26260550
18,롯데시네마 동래,부산광역시 동래구 중앙대로 1393,35.202325,129.078022,사직3동 ,26260600
19,CGV 아시아드,부산광역시 연제구 종합운동장로 7,35.1922208,129.0647115,거제2동,26470620
20,롯데시네마 부산명지,부산광역시 강서구 명지국제6로 107,35.0916785,128.9039947,명지1동,26440535
21,CGV 부산명지점,부산광역시 강서구 명지국제8로10번길,35.0942334,128.9027607,명지1동,26440535
22,메가박스 사상,부산광역시 사상구 괘법동 사상로 201,35.1631105,128.9834597,괘법동,26530620
23,롯데시네마 부산본점,부산광역시 부산진구 가야대로 772,35.1569723,129.0554664,부전2동,26230520
24,CGV 서면,부산광역시 부산진구 동천로 4?,35.1574543,129.0620397,부전2동,26230520
25,롯데시네마 서면,부산광역시 부산진구 동천로 92,35.1567337,129.0628163,전포1동,26230600
26,CGV 서면삼정타워,부산광역시 부산진구 중앙대로 672?,35.15309165,129.0595637,부전2동,26230520
27,CGV 서면상상마당,"부산광역시 부산진구 서면로 39,",35.1532384,129.0578288,부전2동,26230520
28,CGV 대연,부산광역시 남구 수영로 305,35.1373827,129.09928,대연3동 ,26290530
29,부산예술관,부산광역시 남구 유엔평화로76번길 26?,35.1256433,129.0947842,대연4동 ,26290540
30,롯데시네마 광복점,부산광역시 중구 중앙대로 2,35.1035924,129.0364009,중앙동,26110510
31,메가박스 부산극장본관,부산광역시 중구 비프광장로 36,35.0984282,129.0263147,부평동,26110560
32,롯데시네마 대영,부산광역시 중구 비프광장로 37 12-1,0,0,남포동,NaN
33,BNK부산은행 아트세니마 모퉁이 극장,부산광역시 중구 광복중앙로 13,35.100694,129.0310682,광복동,26110570
34,메가박스 부산극장신관,부산광역시 중구 비프광장로 28,35.0984282,129.0263147,부평동,26110560
35,CGV DRIVE IN 영도,부산광역시 영도구 동삼동 1009,35.0751315,129.0728955,동삼1동,26200650
36,CGV 하단아트몰링,부산광역시 사하구 낙동남로 1413?,35.1099026,128.9366907,하단2동,26380562
