행정동명,인구밀도
거제1동,31691.01124
거제2동,6898.360656
거제3동,15441.93548
거제4동,11173.86364
연산1동,19191.76471
연산2동,13480.53691
연산3동,18322.0339
연산4동,17051.08696
연산5동,32082.69231
연산6동,13609.32203
연산8동,19354.28571
연산9동,20550.30675
괴정1동,16950.45872
괴정2동,14850.48544
괴정3동,6233.684211
괴정4동,17156.32184
당리동,6389.922481
하단1동,3318.307692
하단2동,8187.012987
신평1동,9675.151515
신평2동,6558.490566
장림1동,4071.146245
장림2동,11444.34783
다대1동,7300.590551
다대2동,9711.524164
구평동,3587.252125
감천1동,7324.267782
감천2동,8904.83871
수민동 ,25935.53719
복산동 ,11319.23077
명륜동 ,19560
온천1동 ,11191.50943
온천2동 ,10481.54506
온천3동 ,21167.79661
사직1동 ,32171.875
사직2동 ,13586.02151
사직3동 ,21258.75
안락1동 ,14418.5567
안락2동 ,19514.1791
명장1동 ,15267.77778
명장2동 ,16042.04545
구포1동,15781
구포2동,8070
구포3동,18740
금곡동,4537.75
화명1동,8069.4
화명2동,3490.2
화명3동,14378.5
덕천1동,11958
덕천2동,5713.5
덕천3동,10294
만덕1동,3301.8
만덕2동,13454
만덕3동,9000
남천1동,15721.21212
남천2동,17774.24242
수영동,19843.05556
망미1동,14853.84615
망미2동,12793.82716
광안1동,21259.50413
광안2동,41753.33333
광안3동,8119.491525
광안4동,16171.42857
민락동,18519.07895
삼락동,824.5508982
모라1동,16253.29341
모라3동,2909.580838
덕포1동,14907.14286
덕포2동,7818.75
괘법동,6998.550725
감전동,3649.712644
주례1동,10825.4902
주례2동,9317.721519
주례3동,14596.51163
학장동,4970.985401
엄궁동,4994.444444
중앙동,6081.666667
동광동,16735.29412
대청동,17731.42857
보수동,25247.61905
부평동,21904.7619
광복동,4747.619048
남포동,4860.869565
영주1동,17165.51724
영주2동,20600
초량1동,18900
초량2동,14025.64103
초량3동,8451.633987
초량6동,4152.985075
수정1동,18240.90909
수정2동,8466.071429
수정4동,3996.73913
수정5동,14711.76471
좌천동,25241.30435
범일1동,11579.59184
범일2동,9350.60241
범일5동,2435.83815
서1동,14250
서2동,22492.5
서3동,11933.69565
금사회동동,1402.181818
부곡1동,11454.92958
부곡2동,14809.16667
부곡3동,1882.381531
부곡4동,18694.02985
장전1동,5481.097561
장전2동,9569.708029
선두구동,190.0414938
청룡노포동,895.8753437
남산동,7672.802198
구서1동,6401.320132
구서2동,10148.27586
금성동,120.1660735
동대신1동,22695.83333
동대신2동,15974.4186
동대신3동,5137.671233
서대신1동,23356.25
서대신3동,5397.857143
서대신4동,2363.344051
부민동,18056.09756
아미동,8401.388889
초장동,9056.818182
충무동,26186.48649
남부민1동,12554.05405
남부민2동,11337.83784
암남동,4037.534247
남항동,14200
영선1동,22535.29412
영선2동,12296.8254
신선동,6808.928571
봉래1동,21353.33333
봉래2동,11817.1875
청학1동,6337.777778
청학2동,10304.79042
동삼1동,6850.259067
동삼2동,1472.321429
동삼3동,11390.12346
기장읍,1346.83
장안읍,173.2
정관읍,2114.86
일광읍,812.1364653
철마면,146.2
대연1동 ,15819
대연3동 ,8338.5
대연4동 ,11902
대연5동 ,16806
대연6동 ,14906
용호1동 ,21463
용호2동 ,9586.5
용호3동 ,5717
용호4동 ,3937
용당동 ,1997.25
감만1동 ,3253.333333
감만2동 ,6616
우암동 ,12551
문현1동 ,11333
문현2동 ,8049
문현3동 ,16667
문현4동 ,8974
부전1동,27284.21053
부전2동,14009.85915
연지동,21052.52525
초읍동,3795.431472
양정1동,17260.5042
양정2동,14579.77528
전포1동,11756.74157
전포2동,18509.64912
부암1동,28761.25
부암3동,9842.076503
당감1동,9795.081967
당감2동,12015.11628
당감4동,13513.7931
가야1동,9895.544554
가야2동,14700
개금1동,29658.62069
개금2동,12344.56522
개금3동,14555.17241
범천1동,21901.81818
범천2동,11700
우1동,3185.488506
우2동,9394.080997
우3동,33890.36145
중1동,25793.39623
중2동,8344.565217
좌1동,24053.42466
좌2동,21574.30556
좌3동,19659.49367
좌4동,3530.551181
송정동,2295.192308
반여1동,6680.501931
반여2동,11656.31068
반여3동,8019.80198
반여4동,12193.54839
반송1동,1930.473373
반송2동,4811.764706
재송1동,14767.87149
재송2동,13029.05028
대저1동,369.4915254
대저2동,241.4675768
강동동,227.7297297
명지1동,4300.725806
명지2동,9196.969697
가락동,123.3157895
녹산동,619.9648506
가덕도동,161.4634146
