행정동명,자동차등록대수
거제1동,8453.769231
거제2동,8453.769231
거제3동,8453.769231
거제4동,8453.769231
연산1동,8453.769231
연산2동,8453.769231
연산3동,8453.769231
연산4동,8453.769231
연산5동,8453.769231
연산6동,8453.769231
연산8동,8453.769231
연산9동,8453.769231
괴정1동,7146.625
괴정2동,7146.625
괴정3동,7146.625
괴정4동,7146.625
당리동,7146.625
하단1동,7146.625
하단2동,7146.625
신평1동,7146.625
신평2동,7146.625
장림1동,7146.625
장림2동,7146.625
다대1동,7146.625
다대2동,7146.625
구평동,7146.625
감천1동,7146.625
감천2동,7146.625
수민동 ,7751.692308
복산동 ,7751.692308
명륜동 ,7751.692308
온천1동 ,7751.692308
온천2동 ,7751.692308
온천3동 ,7751.692308
사직1동 ,7751.692308
사직2동 ,7751.692308
사직3동 ,7751.692308
안락1동 ,7751.692308
안락2동 ,7751.692308
명장1동 ,7751.692308
명장2동 ,7751.692308
구포1동,8186.230769
구포2동,8186.230769
구포3동,8186.230769
금곡동,8186.230769
화명1동,8186.230769
화명2동,8186.230769
화명3동,8186.230769
덕천1동,8186.230769
덕천2동,8186.230769
덕천3동,8186.230769
만덕1동,8186.230769
만덕2동,8186.230769
만덕3동,8186.230769
남천1동,11431.9
남천2동,11431.9
수영동,11431.9
망미1동,11431.9
망미2동,11431.9
광안1동,11431.9
광안2동,11431.9
광안3동,11431.9
광안4동,11431.9
민락동,11431.9
삼락동,7419.666667
모라1동,7419.666667
모라3동,7419.666667
덕포1동,7419.666667
덕포2동,7419.666667
괘법동,7419.666667
감전동,7419.666667
주례1동,7419.666667
주례2동,7419.666667
주례3동,7419.666667
학장동,7419.666667
엄궁동,7419.666667
중앙동,4258.222222
동광동,4258.222222
대청동,4258.222222
보수동,4258.222222
부평동,4258.222222
광복동,4258.222222
남포동,4258.222222
영주1동,4258.222222
영주2동,4258.222222
초량1동,5180.666667
초량2동,5180.666667
초량3동,5180.666667
초량6동,5180.666667
수정1동,5180.666667
수정2동,5180.666667
수정4동,5180.666667
수정5동,5180.666667
좌천동,5180.666667
범일1동,5180.666667
범일2동,5180.666667
범일5동,5180.666667
서1동,5438.6875
서2동,5438.6875
서3동,5438.6875
금사회동동,5438.6875
부곡1동,5438.6875
부곡2동,5438.6875
부곡3동,5438.6875
부곡4동,5438.6875
장전1동,5438.6875
장전2동,5438.6875
선두구동,5438.6875
청룡노포동,5438.6875
남산동,5438.6875
구서1동,5438.6875
구서2동,5438.6875
금성동,5438.6875
동대신1동,2438.769231
동대신2동,2438.769231
동대신3동,2438.769231
서대신1동,2438.769231
서대신3동,2438.769231
서대신4동,2438.769231
부민동,2438.769231
아미동,2438.769231
초장동,2438.769231
충무동,2438.769231
남부민1동,2438.769231
남부민2동,2438.769231
암남동,2438.769231
남항동,3074.818182
영선1동,3074.818182
영선2동,3074.818182
신선동,3074.818182
봉래1동,3074.818182
봉래2동,3074.818182
청학1동,3074.818182
청학2동,3074.818182
동삼1동,3074.818182
동삼2동,3074.818182
동삼3동,3074.818182
기장읍,17138.4
장안읍,17138.4
정관읍,17138.4
일광읍,17138.4
철마면,17138.4
대연1동 ,5958.235294
대연3동 ,5958.235294
대연4동 ,5958.235294
대연5동 ,5958.235294
대연6동 ,5958.235294
용호1동 ,5958.235294
용호2동 ,5958.235294
용호3동 ,5958.235294
용호4동 ,5958.235294
용당동 ,5958.235294
감만1동 ,5958.235294
감만2동 ,5958.235294
우암동 ,5958.235294
문현1동 ,5958.235294
문현2동 ,5958.235294
문현3동 ,5958.235294
문현4동 ,5958.235294
부전1동,7303.85
부전2동,7303.85
연지동,7303.85
초읍동,7303.85
양정1동,7303.85
양정2동,7303.85
전포1동,7303.85
전포2동,7303.85
부암1동,7303.85
부암3동,7303.85
당감1동,7303.85
당감2동,7303.85
당감4동,7303.85
가야1동,7303.85
가야2동,7303.85
개금1동,7303.85
개금2동,7303.85
개금3동,7303.85
범천1동,7303.85
범천2동,7303.85
우1동,10137.44444
우2동,10137.44444
우3동,10137.44444
중1동,10137.44444
중2동,10137.44444
좌1동,10137.44444
좌2동,10137.44444
좌3동,10137.44444
좌4동,10137.44444
송정동,10137.44444
반여1동,10137.44444
반여2동,10137.44444
반여3동,10137.44444
반여4동,10137.44444
반송1동,10137.44444
반송2동,10137.44444
재송1동,10137.44444
재송2동,10137.44444
대저1동,11068.5
대저2동,11068.5
강동동,11068.5
명지1동,11068.5
명지2동,11068.5
가락동,11068.5
녹산동,11068.5
가덕도동,11068.5
