행정동명,행정동_코드,총반납대여,cluster
가산동,11545510,70811,1
가양1동,11500603,303516,2
가양2동,11500604,31106,3
강일동,11740515,44041,2
공릉1동,11350595,41953,2
공릉2동,11350600,42597,2
공항동,11500620,95984,0
광희동,11140590,29212,0
구로3동,11530540,55353,0
구로5동,11530560,65407,0
구의3동,11215870,36924,0
군자동,11215730,64366,0
길동,11740685,53681,2
노량진1동,11590510,41382,3
녹번동,11380510,29207,0
답십리1동,11230600,40644,0
당산1동,11560550,34330,0
당산2동,11560560,109285,3
대방동,11590660,32027,0
독산1동,11545610,52346,2
둔촌2동,11740700,35368,0
등촌1동,11500520,53451,0
등촌3동,11500535,36880,2
마장동,11200540,35780,0
망우본동,11260655,30329,0
망원2동,11440700,50912,3
명동,11140550,50451,0
목1동,11470510,89424,2
목5동,11470550,71200,2
문래동,11560605,78292,2
문정2동,11710642,76600,2
반포3동,11650580,40491,3
발산1동,11500611,152208,2
방학1동,11320690,33170,0
방화1동,11500630,83634,2
방화2동,11500640,36696,0
사직동,11110530,48410,0
상계1동,11350630,49661,0
상계2동,11350640,28712,0
상계6.7동,11350695,37928,2
상봉2동,11260590,33847,0
상암동,11440740,99519,3
서강동,11440655,29584,3
서교동,11440660,82405,1
석촌동,11710600,36975,2
성내1동,11740640,41730,0
성산1동,11440720,29501,0
성산2동,11440730,68259,2
성수1가1동,11200650,55015,3
성수2가3동,11200690,42814,0
송정동,11200720,29678,0
송파2동,11710590,31619,0
신내1동,11260680,34872,0
신도림동,11530510,56318,0
신림동,11620695,40705,0
신정2동,11470630,30129,0
신정3동,11470640,55617,2
신정6동,11470670,60871,0
신정7동,11470680,48527,0
양재1동,11650651,35837,2
양재2동,11650652,36120,0
양평1동,11560610,48913,0
양평2동,11560620,49521,3
여의동,11560540,212352,1
염창동,11500510,40325,3
영등포동,11560535,92540,2
영등포본동,11560515,31275,0
오금동,11710570,42479,2
오류2동,11530780,32787,2
오륜동,11710566,82645,0
왕십리도선동,11200535,32537,0
용신동,11230536,67844,2
우장산동,11500615,66811,2
월계1동,11350560,41525,0
위례동,11710647,45347,2
응암1동,11380580,44391,0
자양1동,11215820,75235,0
자양2동,11215830,41382,3
자양3동,11215840,55482,3
잠실2동,11710670,52243,3
잠실3동,11710680,74237,0
잠실6동,11710710,89795,3
잠실본동,11710650,31108,0
잠원동,11650540,30656,3
장지동,11710646,39963,0
전농2동,11230570,37745,0
종로1.2.3.4가동,11110615,99611,1
중계1동,11350621,45260,0
중계2.3동,11350625,41597,0
진관동,11380690,46255,2
창4동,11320514,38358,0
창5동,11320515,30522,0
천호2동,11740610,45047,3
청량리동,11230705,37132,0
한강로동,11170625,54153,3
혜화동,11110650,32034,0
화곡1동,11500540,31854,2
화곡6동,11500591,30528,0
화양동,11215710,75248,0
휘경2동,11230730,29662,0
